NAMESPACE      LAST SEEN   TYPE      REASON                    OBJECT                                 MESSAGE
kube-system    85m         Normal    Created                   pod/aws-node-rdgp7                     Container created
kube-system    85m         Normal    Pulling                   pod/aws-node-rdgp7                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.3.5-eksbuild.3"
kube-system    85m         Normal    Started                   pod/aws-node-rdgp7                     Container started
kube-system    85m         Normal    Pulled                    pod/aws-node-rdgp7                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.21.2-eksbuild.2" in 2.871s (2.871s including waiting). Image size: 54065082 bytes.
kube-system    85m         Normal    Pulled                    pod/aws-node-c979v                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.21.2-eksbuild.2" in 4.408s (4.408s including waiting). Image size: 54065082 bytes.
kube-system    85m         Normal    Created                   pod/aws-node-rdgp7                     Container created
kube-system    85m         Normal    Created                   pod/aws-node-c979v                     Container created
kube-system    85m         Normal    Started                   pod/aws-node-rdgp7                     Container started
kube-system    85m         Normal    Started                   pod/aws-node-c979v                     Container started
kube-system    85m         Normal    Pulled                    pod/aws-node-rdgp7                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.3.5-eksbuild.3" in 1.582s (1.582s including waiting). Image size: 36453590 bytes.
kube-system    85m         Normal    Pulling                   pod/aws-node-c979v                     Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.3.5-eksbuild.3"
kube-system    85m         Normal    Scheduled                 pod/coredns-5959c9b9c4-nsjbd           Successfully assigned kube-system/coredns-5959c9b9c4-nsjbd to ip-192-168-17-4.ec2.internal
kube-system    85m         Normal    Pulling                   pod/coredns-5959c9b9c4-nsjbd           Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.10"
kube-system    85m         Normal    Scheduled                 pod/coredns-5959c9b9c4-gs8xh           Successfully assigned kube-system/coredns-5959c9b9c4-gs8xh to ip-192-168-17-4.ec2.internal
default        85m         Normal    NodeReady                 node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal status is now: NodeReady
kube-system    85m         Normal    Started                   pod/aws-node-c979v                     Container started
kube-system    85m         Normal    Created                   pod/aws-node-c979v                     Container created
kube-system    85m         Normal    Pulled                    pod/aws-node-c979v                     Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.3.5-eksbuild.3" in 1.553s (1.553s including waiting). Image size: 36453590 bytes.
kube-system    85m         Normal    Pulling                   pod/coredns-5959c9b9c4-gs8xh           Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.10"
default        85m         Normal    NodeReady                 node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal status is now: NodeReady
kube-system    85m         Normal    Created                   pod/coredns-5959c9b9c4-nsjbd           Container created
kube-system    85m         Normal    Pulled                    pod/coredns-5959c9b9c4-nsjbd           Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.10" in 1.712s (1.712s including waiting). Image size: 26026481 bytes.
kube-system    85m         Normal    Started                   pod/coredns-5959c9b9c4-nsjbd           Container started
kube-system    85m         Normal    Started                   pod/coredns-5959c9b9c4-gs8xh           Container started
kube-system    85m         Normal    Created                   pod/coredns-5959c9b9c4-gs8xh           Container created
kube-system    85m         Normal    Pulled                    pod/coredns-5959c9b9c4-gs8xh           Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.10" in 1.704s (1.704s including waiting). Image size: 26026481 bytes.
kube-system    84m         Normal    Scheduled                 pod/metrics-server-7b78764d44-h2l6v    Successfully assigned kube-system/metrics-server-7b78764d44-h2l6v to ip-192-168-17-4.ec2.internal
kube-system    84m         Normal    SuccessfulCreate          replicaset/metrics-server-7b78764d44   Created pod: metrics-server-7b78764d44-zjmbh
kube-system    84m         Normal    SuccessfulCreate          replicaset/metrics-server-7b78764d44   Created pod: metrics-server-7b78764d44-h2l6v
kube-system    84m         Normal    ScalingReplicaSet         deployment/metrics-server              Scaled up replica set metrics-server-7b78764d44 from 0 to 2
kube-system    84m         Normal    Scheduled                 pod/metrics-server-7b78764d44-zjmbh    Successfully assigned kube-system/metrics-server-7b78764d44-zjmbh to ip-192-168-48-229.ec2.internal
kube-system    84m         Normal    NoPods                    poddisruptionbudget/metrics-server     No matching pods found
kube-system    84m         Normal    Pulling                   pod/metrics-server-7b78764d44-zjmbh    Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.8.1-eksbuild.11"
kube-system    84m         Normal    Pulling                   pod/metrics-server-7b78764d44-h2l6v    Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.8.1-eksbuild.11"
kube-system    84m         Normal    Started                   pod/metrics-server-7b78764d44-h2l6v    Container started
kube-system    84m         Normal    Pulled                    pod/metrics-server-7b78764d44-h2l6v    Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.8.1-eksbuild.11" in 1.638s (1.638s including waiting). Image size: 22888993 bytes.
kube-system    84m         Normal    Created                   pod/metrics-server-7b78764d44-h2l6v    Container created
kube-system    84m         Normal    Pulled                    pod/metrics-server-7b78764d44-zjmbh    Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.8.1-eksbuild.11" in 1.753s (1.753s including waiting). Image size: 22888993 bytes.
kube-system    84m         Normal    Created                   pod/metrics-server-7b78764d44-zjmbh    Container created
kube-system    84m         Normal    Started                   pod/metrics-server-7b78764d44-zjmbh    Container started
upgrade-demo   77m         Normal    SuccessfulCreate          replicaset/nginx-demo-787b5dd6c9       Created pod: nginx-demo-787b5dd6c9-mq8fm
upgrade-demo   77m         Normal    SuccessfulCreate          replicaset/nginx-demo-787b5dd6c9       Created pod: nginx-demo-787b5dd6c9-fvsbn
upgrade-demo   77m         Normal    Scheduled                 pod/nginx-demo-787b5dd6c9-fvsbn        Successfully assigned upgrade-demo/nginx-demo-787b5dd6c9-fvsbn to ip-192-168-48-229.ec2.internal
upgrade-demo   77m         Normal    ScalingReplicaSet         deployment/nginx-demo                  Scaled up replica set nginx-demo-787b5dd6c9 from 0 to 3
upgrade-demo   77m         Normal    Scheduled                 pod/nginx-demo-787b5dd6c9-rf2bl        Successfully assigned upgrade-demo/nginx-demo-787b5dd6c9-rf2bl to ip-192-168-48-229.ec2.internal
upgrade-demo   77m         Normal    SuccessfulCreate          replicaset/nginx-demo-787b5dd6c9       Created pod: nginx-demo-787b5dd6c9-rf2bl
upgrade-demo   77m         Normal    Scheduled                 pod/nginx-demo-787b5dd6c9-mq8fm        Successfully assigned upgrade-demo/nginx-demo-787b5dd6c9-mq8fm to ip-192-168-17-4.ec2.internal
upgrade-demo   77m         Normal    Pulling                   pod/nginx-demo-787b5dd6c9-fvsbn        Pulling image "nginx:1.27"
upgrade-demo   77m         Normal    Pulling                   pod/nginx-demo-787b5dd6c9-rf2bl        Pulling image "nginx:1.27"
upgrade-demo   77m         Normal    Pulling                   pod/nginx-demo-787b5dd6c9-mq8fm        Pulling image "nginx:1.27"
upgrade-demo   77m         Normal    Pulled                    pod/nginx-demo-787b5dd6c9-rf2bl        Successfully pulled image "nginx:1.27" in 3.17s (3.17s including waiting). Image size: 72406859 bytes.
upgrade-demo   77m         Normal    Pulled                    pod/nginx-demo-787b5dd6c9-mq8fm        Successfully pulled image "nginx:1.27" in 3.264s (3.264s including waiting). Image size: 72406859 bytes.
