NAMESPACE      LAST SEEN   TYPE      REASON                    OBJECT                                 MESSAGE
kube-system    7m41s       Normal    Scheduled                 pod/metrics-server-7b78764d44-f9sqv    Successfully assigned kube-system/metrics-server-7b78764d44-f9sqv to ip-192-168-5-209.ec2.internal
upgrade-demo   7m40s       Normal    Pulling                   pod/nginx-demo-787b5dd6c9-tkh4t        Pulling image "nginx:1.27"
kube-system    7m40s       Normal    Pulling                   pod/metrics-server-7b78764d44-f9sqv    Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.8.1-eksbuild.11"
kube-system    7m39s       Warning   Unhealthy                 pod/coredns-5959c9b9c4-bz2dz           Readiness probe failed: Get "http://192.168.54.14:8181/ready": dial tcp 192.168.54.14:8181: connect: connection refused
kube-system    7m39s       Normal    Started                   pod/coredns-5959c9b9c4-bz2dz           Container started
kube-system    7m39s       Normal    Created                   pod/coredns-5959c9b9c4-bz2dz           Container created
kube-system    7m39s       Normal    Pulled                    pod/coredns-5959c9b9c4-bz2dz           Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.10" in 1.475s (1.475s including waiting). Image size: 26026481 bytes.
kube-system    7m38s       Normal    Started                   pod/metrics-server-7b78764d44-f9sqv    Container started
kube-system    7m38s       Normal    Created                   pod/metrics-server-7b78764d44-f9sqv    Container created
kube-system    7m38s       Normal    Pulled                    pod/metrics-server-7b78764d44-f9sqv    Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.8.1-eksbuild.11" in 2.178s (2.178s including waiting). Image size: 22888993 bytes.
upgrade-demo   7m36s       Normal    Started                   pod/nginx-demo-787b5dd6c9-tkh4t        Container started
upgrade-demo   7m36s       Normal    Pulled                    pod/nginx-demo-787b5dd6c9-tkh4t        Successfully pulled image "nginx:1.27" in 4.537s (4.537s including waiting). Image size: 72406859 bytes.
upgrade-demo   7m36s       Normal    Created                   pod/nginx-demo-787b5dd6c9-tkh4t        Container created
kube-system    6m41s       Normal    Killing                   pod/coredns-5959c9b9c4-nsjbd           Stopping container coredns
kube-system    6m41s       Normal    SuccessfulCreate          replicaset/coredns-5959c9b9c4          Created pod: coredns-5959c9b9c4-ql2fh
kube-system    6m41s       Normal    Scheduled                 pod/coredns-5959c9b9c4-ql2fh           Successfully assigned kube-system/coredns-5959c9b9c4-ql2fh to ip-192-168-5-209.ec2.internal
kube-system    6m40s       Normal    Pulling                   pod/coredns-5959c9b9c4-ql2fh           Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.10"
kube-system    6m39s       Normal    Started                   pod/coredns-5959c9b9c4-ql2fh           Container started
kube-system    6m39s       Normal    Created                   pod/coredns-5959c9b9c4-ql2fh           Container created
kube-system    6m39s       Normal    Pulled                    pod/coredns-5959c9b9c4-ql2fh           Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.10" in 1.545s (1.545s including waiting). Image size: 26026481 bytes.
kube-system    6m38s       Warning   Unhealthy                 pod/coredns-5959c9b9c4-ql2fh           Readiness probe failed: Get "http://192.168.21.45:8181/ready": dial tcp 192.168.21.45:8181: connect: connection refused
kube-system    6m38s       Warning   Unhealthy                 pod/coredns-5959c9b9c4-ql2fh           Readiness probe failed: HTTP probe failed with statuscode: 503
kube-system    5m36s       Normal    SuccessfulCreate          daemonset/kube-proxy                   Created pod: kube-proxy-d75nc
kube-system    5m36s       Warning   NodeShutdown              pod/aws-node-djb8l                     Pod was rejected as the node is shutting down.
kube-system    5m36s       Normal    SuccessfulCreate          daemonset/aws-node                     Created pod: aws-node-djb8l
kube-system    5m36s       Normal    SuccessfulDelete          daemonset/kube-proxy                   Deleted pod: kube-proxy-nsfxh
default        5m36s       Normal    Shutdown                  node/ip-192-168-17-4.ec2.internal      Shutdown manager detected shutdown event
kube-system    5m36s       Normal    Scheduled                 pod/aws-node-djb8l                     Successfully assigned kube-system/aws-node-djb8l to ip-192-168-17-4.ec2.internal
default        5m36s       Normal    NodeNotReady              node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal status is now: NodeNotReady
kube-system    5m36s       Warning   NodeShutdown              pod/kube-proxy-d75nc                   Pod was rejected as the node is shutting down.
kube-system    5m36s       Normal    Scheduled                 pod/kube-proxy-d75nc                   Successfully assigned kube-system/kube-proxy-d75nc to ip-192-168-17-4.ec2.internal
kube-system    5m36s       Normal    Killing                   pod/kube-proxy-nsfxh                   Stopping container kube-proxy
kube-system    5m36s       Warning   FailedDaemonPod           daemonset/kube-proxy                   Found failed daemon pod kube-system/kube-proxy-nsfxh on node ip-192-168-17-4.ec2.internal, will try to kill it
kube-system    5m36s       Normal    Killing                   pod/aws-node-rdgp7                     Stopping container aws-node
kube-system    5m36s       Normal    Killing                   pod/aws-node-rdgp7                     Stopping container aws-eks-nodeagent
kube-system    5m36s       Warning   FailedDaemonPod           daemonset/aws-node                     Found failed daemon pod kube-system/aws-node-rdgp7 on node ip-192-168-17-4.ec2.internal, will try to kill it
kube-system    5m36s       Normal    SuccessfulDelete          daemonset/aws-node                     Deleted pod: aws-node-rdgp7
kube-system    5m35s       Normal    Scheduled                 pod/kube-proxy-2p2l5                   Successfully assigned kube-system/kube-proxy-2p2l5 to ip-192-168-17-4.ec2.internal
kube-system    5m35s       Normal    Scheduled                 pod/aws-node-dwq8z                     Successfully assigned kube-system/aws-node-dwq8z to ip-192-168-17-4.ec2.internal
kube-system    5m35s       Normal    SuccessfulDelete          daemonset/aws-node                     Deleted pod: aws-node-djb8l
kube-system    5m35s       Warning   FailedDaemonPod           daemonset/kube-proxy                   Found failed daemon pod kube-system/kube-proxy-d75nc on node ip-192-168-17-4.ec2.internal, will try to kill it
kube-system    5m35s       Normal    SuccessfulCreate          daemonset/aws-node                     Created pod: aws-node-dwq8z
kube-system    5m35s       Warning   FailedDaemonPod           daemonset/aws-node                     Found failed daemon pod kube-system/aws-node-djb8l on node ip-192-168-17-4.ec2.internal, will try to kill it
kube-system    5m35s       Normal    SuccessfulDelete          daemonset/kube-proxy                   Deleted pod: kube-proxy-d75nc
kube-system    5m35s       Normal    SuccessfulCreate          daemonset/kube-proxy                   Created pod: kube-proxy-2p2l5
default        4m56s       Normal    DeletingNode              node/ip-192-168-17-4.ec2.internal      Deleting node ip-192-168-17-4.ec2.internal because it does not exist in the cloud provider
default        4m53s       Normal    RemovingNode              node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal event: Removing Node ip-192-168-17-4.ec2.internal from Controller
upgrade-demo   4m39s       Normal    UpdatedLoadBalancer       service/nginx-service                  Updated load balancer with new hosts
kube-system    3m39s       Normal    Pulling                   pod/metrics-server-7b78764d44-f9h9x    Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.8.1-eksbuild.11"
kube-system    3m39s       Normal    SuccessfulCreate          replicaset/metrics-server-7b78764d44   Created pod: metrics-server-7b78764d44-f9h9x
kube-system    3m39s       Normal    Killing                   pod/metrics-server-7b78764d44-zjmbh    Stopping container metrics-server
upgrade-demo   3m39s       Normal    Killing                   pod/nginx-demo-787b5dd6c9-fvsbn        Stopping container nginx
upgrade-demo   3m39s       Normal    Scheduled                 pod/nginx-demo-787b5dd6c9-7k9l5        Successfully assigned upgrade-demo/nginx-demo-787b5dd6c9-7k9l5 to ip-192-168-57-200.ec2.internal
kube-system    3m39s       Normal    Scheduled                 pod/metrics-server-7b78764d44-f9h9x    Successfully assigned kube-system/metrics-server-7b78764d44-f9h9x to ip-192-168-57-200.ec2.internal
upgrade-demo   3m39s       Normal    SuccessfulCreate          replicaset/nginx-demo-787b5dd6c9       Created pod: nginx-demo-787b5dd6c9-7k9l5
upgrade-demo   3m38s       Normal    Pulling                   pod/nginx-demo-787b5dd6c9-7k9l5        Pulling image "nginx:1.27"
kube-system    3m36s       Normal    Created                   pod/metrics-server-7b78764d44-f9h9x    Container created
kube-system    3m36s       Normal    Pulled                    pod/metrics-server-7b78764d44-f9h9x    Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.8.1-eksbuild.11" in 2.478s (2.478s including waiting). Image size: 22888993 bytes.
kube-system    3m36s       Normal    Started                   pod/metrics-server-7b78764d44-f9h9x    Container started
upgrade-demo   3m34s       Normal    Created                   pod/nginx-demo-787b5dd6c9-7k9l5        Container created
upgrade-demo   3m34s       Normal    Started                   pod/nginx-demo-787b5dd6c9-7k9l5        Container started
upgrade-demo   3m34s       Normal    Pulled                    pod/nginx-demo-787b5dd6c9-7k9l5        Successfully pulled image "nginx:1.27" in 4.313s (4.313s including waiting). Image size: 72406859 bytes.
upgrade-demo   2m39s       Normal    SuccessfulCreate          replicaset/nginx-demo-787b5dd6c9       Created pod: nginx-demo-787b5dd6c9-fvq2x
upgrade-demo   2m39s       Normal    Killing                   pod/nginx-demo-787b5dd6c9-rf2bl        Stopping container nginx
upgrade-demo   2m39s       Normal    Scheduled                 pod/nginx-demo-787b5dd6c9-fvq2x        Successfully assigned upgrade-demo/nginx-demo-787b5dd6c9-fvq2x to ip-192-168-5-209.ec2.internal
upgrade-demo   2m38s       Normal    Started                   pod/nginx-demo-787b5dd6c9-fvq2x        Container started
upgrade-demo   2m38s       Normal    Created                   pod/nginx-demo-787b5dd6c9-fvq2x        Container created
upgrade-demo   2m38s       Normal    Pulled                    pod/nginx-demo-787b5dd6c9-fvq2x        Container image "nginx:1.27" already present on machine and can be accessed by the pod
kube-system    94s         Normal    Killing                   pod/aws-node-c979v                     Stopping container aws-eks-nodeagent
kube-system    94s         Normal    Killing                   pod/aws-node-c979v                     Stopping container aws-node
kube-system    94s         Warning   NodeShutdown              pod/aws-node-27wd2                     Pod was rejected as the node is shutting down.
kube-system    94s         Normal    Killing                   pod/kube-proxy-4jfkp                   Stopping container kube-proxy
kube-system    94s         Warning   FailedDaemonPod           daemonset/aws-node                     Found failed daemon pod kube-system/aws-node-c979v on node ip-192-168-48-229.ec2.internal, will try to kill it
kube-system    94s         Normal    Scheduled                 pod/kube-proxy-rqzgd                   Successfully assigned kube-system/kube-proxy-rqzgd to ip-192-168-48-229.ec2.internal
kube-system    94s         Warning   NodeShutdown              pod/kube-proxy-rqzgd                   Pod was rejected as the node is shutting down.
kube-system    94s         Warning   FailedDaemonPod           daemonset/kube-proxy                   Found failed daemon pod kube-system/kube-proxy-4jfkp on node ip-192-168-48-229.ec2.internal, will try to kill it
kube-system    94s         Normal    Scheduled                 pod/aws-node-27wd2                     Successfully assigned kube-system/aws-node-27wd2 to ip-192-168-48-229.ec2.internal
kube-system    94s         Normal    SuccessfulDelete          daemonset/kube-proxy                   Deleted pod: kube-proxy-4jfkp
default        94s         Normal    Shutdown                  node/ip-192-168-48-229.ec2.internal    Shutdown manager detected shutdown event
kube-system    94s         Normal    SuccessfulDelete          daemonset/aws-node                     Deleted pod: aws-node-c979v
kube-system    94s         Normal    SuccessfulCreate          daemonset/aws-node                     Created pod: aws-node-27wd2
default        94s         Normal    NodeNotReady              node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal status is now: NodeNotReady
kube-system    94s         Normal    SuccessfulCreate          daemonset/kube-proxy                   Created pod: kube-proxy-rqzgd
kube-system    93s         Warning   FailedDaemonPod           daemonset/kube-proxy                   Found failed daemon pod kube-system/kube-proxy-rqzgd on node ip-192-168-48-229.ec2.internal, will try to kill it
kube-system    93s         Normal    SuccessfulDelete          daemonset/kube-proxy                   Deleted pod: kube-proxy-rqzgd
kube-system    93s         Normal    SuccessfulCreate          daemonset/kube-proxy                   Created pod: kube-proxy-6c579
kube-system    93s         Normal    Scheduled                 pod/aws-node-4bhfl                     Successfully assigned kube-system/aws-node-4bhfl to ip-192-168-48-229.ec2.internal
kube-system    93s         Warning   FailedDaemonPod           daemonset/aws-node                     Found failed daemon pod kube-system/aws-node-27wd2 on node ip-192-168-48-229.ec2.internal, will try to kill it
kube-system    93s         Normal    SuccessfulDelete          daemonset/aws-node                     Deleted pod: aws-node-27wd2
kube-system    93s         Normal    SuccessfulCreate          daemonset/aws-node                     Created pod: aws-node-4bhfl
kube-system    93s         Normal    Scheduled                 pod/kube-proxy-6c579                   Successfully assigned kube-system/kube-proxy-6c579 to ip-192-168-48-229.ec2.internal
default        36s         Normal    DeletingNode              node/ip-192-168-48-229.ec2.internal    Deleting node ip-192-168-48-229.ec2.internal because it does not exist in the cloud provider
default        33s         Normal    RemovingNode              node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal event: Removing Node ip-192-168-48-229.ec2.internal from Controller
